phase,seed,r,fisher_z_ci_lo,fisher_z_ci_hi,phase_n_seeds,phase_mean_r,phase_sd_r,phase_t_ci_lo,phase_t_ci_hi,phase_bootstrap_ci_lo,phase_bootstrap_ci_hi
Phase 1 (frozen rules),42,-0.774000,-0.956812,-0.152507,5,-0.752400,0.082151,-0.854404,-0.650396,-0.797200,-0.678000
Phase 1 (frozen rules),137,-0.608000,-0.918955,0.169139,5,-0.752400,0.082151,-0.854404,-0.650396,-0.797200,-0.678000
Phase 1 (frozen rules),256,-0.792000,-0.960575,-0.197618,5,-0.752400,0.082151,-0.854404,-0.650396,-0.797200,-0.678000
Phase 1 (frozen rules),512,-0.812000,-0.964685,-0.250878,5,-0.752400,0.082151,-0.854404,-0.650396,-0.797200,-0.678000
Phase 1 (frozen rules),1024,-0.776000,-0.957233,-0.157395,5,-0.752400,0.082151,-0.854404,-0.650396,-0.797200,-0.678000
Phase 2 (bounded HC),42,-0.759000,-0.953628,-0.116794,5,-0.636600,0.140272,-0.810771,-0.462429,-0.734600,-0.511000
Phase 2 (bounded HC),137,-0.424000,-0.869025,0.400264,5,-0.636600,0.140272,-0.810771,-0.462429,-0.734600,-0.511000
Phase 2 (bounded HC),256,-0.719000,-0.944920,-0.029041,5,-0.636600,0.140272,-0.810771,-0.462429,-0.734600,-0.511000
Phase 2 (bounded HC),512,-0.717000,-0.944476,-0.024916,5,-0.636600,0.140272,-0.810771,-0.462429,-0.734600,-0.511000
Phase 2 (bounded HC),1024,-0.564000,-0.907858,0.233457,5,-0.636600,0.140272,-0.810771,-0.462429,-0.734600,-0.511000
"Phase 2* (unbounded HC, weak)",42,-0.791000,-0.960368,-0.195044,5,-0.779000,0.097476,-0.900032,-0.657968,-0.860800,-0.713000
"Phase 2* (unbounded HC, weak)",137,-0.676000,-0.935188,0.054757,5,-0.779000,0.097476,-0.900032,-0.657968,-0.860800,-0.713000
"Phase 2* (unbounded HC, weak)",256,-0.932000,-0.987879,-0.662288,5,-0.779000,0.097476,-0.900032,-0.657968,-0.860800,-0.713000
"Phase 2* (unbounded HC, weak)",512,-0.717000,-0.944476,-0.024916,5,-0.779000,0.097476,-0.900032,-0.657968,-0.860800,-0.713000
"Phase 2* (unbounded HC, weak)",1024,-0.779000,-0.957863,-0.164783,5,-0.779000,0.097476,-0.900032,-0.657968,-0.860800,-0.713000
"Phase 2* (unbounded HC, aggr.)",42,-0.354000,-0.847308,0.467224,5,-0.608800,0.246635,-0.915037,-0.302563,-0.798400,-0.419200
"Phase 2* (unbounded HC, aggr.)",137,-0.700000,-0.940668,0.009222,5,-0.608800,0.246635,-0.915037,-0.302563,-0.798400,-0.419200
"Phase 2* (unbounded HC, aggr.)",256,-0.344000,-0.844065,0.476078,5,-0.608800,0.246635,-0.915037,-0.302563,-0.798400,-0.419200
"Phase 2* (unbounded HC, aggr.)",512,-0.887000,-0.979464,-0.486264,5,-0.608800,0.246635,-0.915037,-0.302563,-0.798400,-0.419200
"Phase 2* (unbounded HC, aggr.)",1024,-0.759000,-0.953628,-0.116794,5,-0.608800,0.246635,-0.915037,-0.302563,-0.798400,-0.419200
Phase 3 (LLM personalities),42,-0.884000,-0.978891,-0.475581,5,-0.510200,0.299511,-0.882092,-0.138308,-0.743400,-0.277000
Phase 3 (LLM personalities),137,-0.525000,-0.897602,0.285174,5,-0.510200,0.299511,-0.882092,-0.138308,-0.743400,-0.277000
Phase 3 (LLM personalities),256,-0.171000,-0.781503,0.606791,5,-0.510200,0.299511,-0.882092,-0.138308,-0.743400,-0.277000
Phase 3 (LLM personalities),512,-0.712000,-0.943362,-0.014705,5,-0.510200,0.299511,-0.882092,-0.138308,-0.743400,-0.277000
Phase 3 (LLM personalities),1024,-0.259000,-0.814938,0.545173,5,-0.510200,0.299511,-0.882092,-0.138308,-0.743400,-0.277000
Phase 3.1 (LLM + reasoning),42,-0.228000,-0.803567,0.567918,20,0.062300,0.387424,-0.119020,0.243620,-0.102252,0.224450
Phase 3.1 (LLM + reasoning),137,0.391000,-0.432967,0.858996,20,0.062300,0.387424,-0.119020,0.243620,-0.102252,0.224450
